หัสลูกค้า,ชื่อลูกค้า,ประเภทลูกค้า,เลขที่เสียภาษี,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,ชื่อผู้ติดต่อ,เบอร์โทร,อีเมล์,lineId,facebook
,กลุ่มสยามบรรจุภัณฑ์โรงงานราชบุรี,ลูกค้าทั่วไป,,,,วังเย็น,บางแพ,ราชบุรี,,Tani,0879853651,,,
,กลุ่มสยามบรรจุภัณฑ์โรงงานสมุทรปราการ,ลูกค้าทั่วไป,,,พัฒนา,แพรกษา,เมือง,สมุทรปราการ,,,,,,
,กลุ่มสยามบรรจุภัณฑ์โรงงานนวนคร,,,,,คลองหนึ่ง,คลองหลวง,ปทุมธานี,,,,,,
,กลุ่มสยามบรรจุภัณฑ์โรงงานปราจีนบุรี,,,,,,ศรีมหาโพธิ,ปราจีนบุรี,,,,,,
,กลุ่มสยามบรรจุภัณฑ์โรงงานชลบุรี,,,321/9,,สุรศักดิ์,ศรีราชา,ชลบุรี,,,,,,
,กลุ่มสยามบรรจุภัณฑ์โรงงานสระบุรี,,,,,ตาลเดี่ยว,แก่งคอย,สระบุรี,,,,,,
,กลุ่มสยามบรรจุภัณฑ์โรงงานสงขลา,,,183 หมู่6,สายเอเชีย,กำแพงเพชร,รัตภูมิ,สงขลา,,,,,,
,บริษัท ยูไนเต็ด คอนเทนเนอร์ จำกัด,,,100/1  หมู่1,ปทุมธานี,สามโคก,สามโคก,ปทุมธานี,,,,,,
,บริษัท รวมไทยบรรจุภัณฑ์ จำกัด,,,247 หมู่6,ท้ายบ้าน,ท้ายบ้าน,เมือง,สมุทรปราการ,,,,,,
,บริษัท ศานติบรรจุภัณฑ์ จำกัด,,,240,ร่มเกล้า,แขวงมีนบุรี,เขตมีนบุรี,กรุงเทพ,,,,,,
,บริษัท เปเปอร์ ชีท บอร์ด จำกัด,,,,,นามะตูม,พนัสนิคม,ชลบุรี,,,,,,
,บริษัท ไทยคอนเทนเนอร์ขอนแก่น จำกัด,,,,,,บ้านแฮด,ขอนแก่น,,,,,,
,บริษัท ตะวันนาบรรจุภัณฑ์ จำกัด,,,599 หมู่ที่4,พัฒนา1,แพรกษา,สมุทรปราการ,สมุทรปราการ,,,,,,
,โรงงานไดน่า แพคส์,,,297/2 หมู่2,เศรษฐกิจ1,อ้อมน้อย,กระทุ่มแบน,สมุทรสาคร,,,,,,
,โรงงานไทยคอนเทนเนอร์ระยอง,,,,,,ปลวกแดง,ระยอง,,,,,,
,โรงงานกำแพงเพชร,,,,ทางหลวงหมายเลข1,ท่าพุทรา,คลองขลุง,กำแพงเพชร,,,,,,
,บริษัท เอ็น.พี.สลิตติ้ง จำกัด,,,3/6 หมู่6,,วังศาลา,ท่าม่วง,กาญจนบุรี,,,,,,
,บริษัท ที.คอร์รูเกเต็ด จำกัด,,,,,บางช้าง,สามพราน,นครปฐม,,,,,,
,บริษัท เอส เอ็น พี เปเปอร์ จำกัด,,,,,บ้านใหม่,บางใหญ่,นนทบุรี,,,,,,
,บริษัท โซโนโค จำกัด,,,68/13 หมู่5,,มาบไผ่,บ้านบึง,ชลบุรี,,,,,,
,บริษัท เอชเอสแอล คาร์ตอนส์ จำกัด,,,19/1 หมู่4,,ท่าไข่,เมือง,ฉะเชิงเทรา,,,,,,
,บริษัท ปูนซีเมนต์ไทย(ท่าหลวง) จำกัด,,,28 หมู่4,,เขาวง,พระพุทธบาท,สระบุรี,,,,,,
,บริษัท ปูนซีเมนต์ไทย(ทุ่งสง) จำกัด,,,,,,ทุ่งสง,นครศรีธรรมราช,,,,,,
,โรงงานปทุมธานี,,,99 หมู่1,,บางคูวัด,,ปทุมธานี,,,,,,
,โกดังบางใหญ่,,,,,,บางใหญ่,นนทบุรี,,,,,,
,บริษัท เค.สยาม เปเปอร์ โรล จำกัด,,,,เพชรเกษม,อ้อมน้อย,,สมุทรสาคร,,,,,,
,ห้างหุ้นส่วนจำกัด กาฬสินธุ์การพิมพ์,,,338/12-13,,,เมือง,กาฬสินธุ์,,,,,,
,บริษัท คอทโก้ เอ็นซีอาร์ เปเปอร์,,,88 หมู่ที่ 3 ,ซอยวัดหนองบอน,,นิคมพัฒนา,ระยอง,,,,,,
,บริษัท คอนติเนนตัล บรรจุภัณฑ์ (ไทย,,,86 หมู่ที่ 13,,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,บริษัท คอมฟอร์ม จำกัด,,,20,,,เขตสะพานสูง,กรุงเทพมหานคร,,,,,,
,บริษัท คาเธ่ย์การ์เวียร์(1988),,,3/1. , ซอยเทียนทะเล 7,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,โรงพิมพ์แห่งจุฬาลงกรณ์มหาวิทยาลัย,,,,,,เขตปทุมวัน,กรุงเทพมหานคร,,,,,,
,บริษัท ด่านสุทธาการพิมพ์ จำกัด,,,307, ซอยลาดพร้าว 87,,เขตวังทองหลาง,กรุงเทพมหานคร,,,,,,
,บริษัท อีสเทอร์น พาวเวอร์ กรุ๊ป จำกัด,,,"51/29, 51/61. ",ซอยวิภาวดีรังสิต 66,,เขตหลักสี่,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด ทิพยวิสุทธิ์,,,240/127-129,,,เขตบางกอกน้อย,กรุงเทพมหานคร,,,,,,
,บริษัท โพสโค-ไทยน๊อคซ์ จำกัด,,,324 หมู่ที่ 8,,,นิคมพัฒนา,ระยอง,,,,,,
,ห้างหุ้นส่วนจำกัด ไทยแพ็คปริ้น,,,132,,,เขตทุ่งครุ,กรุงเทพมหานคร,,,,,,
,บริษัท ไทยร่มเกล้า จำกัด,,,9/9 หมู่ที่ 9,,,อำเภอบางใหญ่,นนทบุรี,,,,,,
,บริษัท ไทยวราพรเปเปอร์ จำกัด,,,777/41.,ซอยลาซาล 24,,เขตบางนา,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด ไทยอุดมสิงห์ชัย,,,"290,290/1-2",,,เขตบางบอน,กรุงเทพมหานคร,,,,,,
,บริษัท บุญยวรรณ จำกัด,,,275/14,,,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด บูรพาเทพ,,,24/1 ซอยเอกชัย 75 หมู่ที่ 6,ซอยเอกชัย 75,,เขตบางบอน,กรุงเทพมหานคร,,,,,,
,บริษัท ประชุมช่าง จำกัด,,,41640,,,เขตหลักสี่,กรุงเทพมหานคร,,,,,,
,บริษัท เปเปอร์ แอนด์ ฟอร์มส จำกัด,,,42,,,เขตประเวศ,กรุงเทพมหานคร,,,,,,
,บริษัท พงษ์วรินการพิมพ์ จำกัด,,,299-299/1 หมู่ที่ 10,,,อ.เมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,บริษัท ยามากาตะ (ประเทศไทย),,,324 หมู่ที่ 4,,,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,บริษัท พีเอสพี ป.แสงทองการพิมพ์,,,"80/18, 88/8 หมู่ที่ 4",,,นครชัยศรี,นครปฐม,,,,,,
,บริษัท เพอร์เฟค แพคเกจจิ้ง จำกัด,,,19/9 หมู่ที่ 6,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท เพอร์เฟคท์พริ้นท์แอนด์,,,55/5 หมู่ที่ 2,,,อำเภอบางกรวย,นนทบุรี,,,,,,
,บริษัท แพคพรินเตอร์ จำกัด,,,58/1 หมู่ที่ 5,,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,ห้างหุ้นส่วนจำกัด โรงทำสมุดเม้งฮั้ว,,,14 ซอยนราธิวาสราชนครินทร์ 12,ซอยนราธิวาสราชนครินทร์ 12,,เขตสาทร,กรุงเทพมหานคร,,,,,,
,บริษัท เมย์ฟลาวเวอร์ (ประเทศไทย),,,32/43 หมู่ที่ 4,ซอยสุขสวัสดิ์ 2,,เขตจอมทอง,กรุงเทพมหานคร,,,,,,
,บริษัท โมเดอร์น พริ้น เทค แอนด์,,,"187/18, 89 หมู่ 3",,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,บริษัท ยูเนี่ยน สตาร์ พลาสติค จำกัด,,,141/79 หมู่ที่ 6 ,ซอยวัดหัวกระบือ,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท ชัยรุ่งเรืองรัชดา จำกัด,,,990,,,เขตยานนาวา,กรุงเทพมหานคร,,,,,,
,บริษัท ศรีไทยบรรจุภัณฑ์ จำกัด,,,30/27 หมู่ 2 ,นิคมอุตสาหกรรมการพิมพ์,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ไซเบอร์พริ้นท์กรุ๊ป จำกัด,,,"30/91,100 หมู่ 1 นิคมอุตสาหกรรม",,,เมือง,สมุทรสาคร,,,,,,
,ศรีสะเกษการพิมพ์,,,1462-64,,,เมือง,ศรีสะเกษ,,,,,,
,บริษัท สมบูรณ์ เอส.บี. จำกัด,,,36/6 หมู่ที่ 4,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท โรงงานสมุดแสงฟ้า จำกัด,,,1227,,,เขตบางแค,กรุงเทพมหานคร,,,,,,
,บริษัท ที.เค.เอส.สยามเพรส,,,30/88 หมู่ที่ 1,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท สยามสปอร์ตซินดิเคท จำกัด,,,66/26-29,,,เขตบึงกุ่ม,กรุงเทพมหานคร,,,,,,
,บริษัท สหยงพัฒนกิจ จำกัด,,,606/2,,,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,,,,,,
,บริษัท สีทอง 555 จำกัด,,,123 หมู่ที่ 1,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท หมั่น เท่อ (ประเทศไทย) จำกัด,,,"44/159-161, 44/166-169",,,เขตบางเขน,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด เหรียญทองการพิมพ์,,,1741,,,เขตสาทร,กรุงเทพมหานคร,,,,,,
,บริษัท เหรียญไทยบุญกิจ จำกัด,,,12,ซอยโชคชัยจงจำเริญ,,เขตยานนาวา,กรุงเทพมหานคร,,,,,,
,บริษัท โรงพิมพ์อักษรสัมพันธ์ (1987),,,18  แยก 25,ซอยประชาอุทิศ 33,,เขตทุ่งครุ,กรุงเทพมหานคร,,,,,,
,บริษัท อินเตอร์คอมพิวเตอร์ จำกัด,,,3,ซอยสวนผัก 6,,เขตตลิ่งชัน,กรุงเทพมหานคร,,,,,,
,บริษัท เอ็ม.ซี.ซี.ฟิโนล่า จำกัด,,,9/19  หมู่ที่ 2,ซอยผูกมิตร,,อำเภอพระประแดง,สมุทรปราการ,,,,,,
,บริษัท แอ๊ดวานซ์ ฟอร์ม อินเตอร์,,,"43,45 ",ซอยพระรามที่ 2 ซอย 28,,เขตจอมทอง,กรุงเทพมหานคร,,,,,,
,บริษัท นิคเคสยามอลูมิเนียม จำกัด,,,30 หมู่ที่ 14,,,คลองหลวง,ปทุมธานี,,,,,,
,บริษัท ฮั่วน้ำพริ้นติ้ง จำกัด,,,208,ซอยเจริญราษฎร์ 3 (วัดปรก),,เขตสาทร,กรุงเทพมหานคร,,,,,,
,บริษัท เลิฟแอนด์ลิพ เพรส จำกัด,,,9.69972E+20,,,เขตคลองสามวา,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด วิชรัตน์กรุ๊ป,,,89/42-43 หมู่ที่ 7,,,เขตบางแค,กรุงเทพมหานคร,,,,,,
,บริษัท พิมพ์ดี จำกัด,,,30/2 หมู่ที่ 1,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ไดอิชิ แพคเกจจิ้ง จำกัด,,,139 หมู่ที่ 5,,,บางปะกง,ฉะเชิงเทรา,,,,,,
,โกดัง โรงสมุดเม้งฮั้ว-มหาชัย,,,47/108 หมู่ที่ 4,,,เมือง,สมุทรสาคร,,,,,,
,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,,,18/18,,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,โรงงานแอลคอท,,,37/1 หมู่ที่ 3,,,เมือง,สมุทรสาคร,,,,,,
,จันวาณิชย์-พระประแดง (1007633),,,192 หมู่ที่ 1,,,,สมุทรปราการ,,,,,,
,บริษัท ทรัพย์พิทักษ์ดี จำกัด,,,20/179 หมู่ที่ 6,,,เมือง,สมุทรสาคร,,,,,,
,มหาวิทยาลัยสุโขทัยธรรมาธิราช,,,9/9 หมู่ 9,,,อำเภอปากเกร็ด,นนทบุรี,,,,,,
