ำดับ,ชื่อ,sku,บาร์,จำนวนรวม,ราคา
1,ยูสตาร์ เฟรชอัพเวลเว็ท ลิป #01 ยูสุ,23199,8856961231999,41491,27
2,ยูสตาร์ เฟรช อัพ ดิวอี้ ทินท์ #01,23242,8856961232422,6143,27
3,ยูสตาร์ เฟรชอัพเวลเว็ท ลิป #02 แอปเปิ้ล,23205,8856961232057,29166,27
4,ยูสตาร์ เฟรช อัพ ดิวอี้ ทินท์ #02,23252,8856961232521,12642,27
5,นอทิ ชิค ออล เดย์ อายไลเนอร์ เพ็น,22818,8856961228180,1465,22
6,ยูสตาร์ สไมลี่ย์เวิลด์ ซุปเปอร์ อายไลเนอร์,23184,8856961231845,,25
7,นอทิ ชิค อายบราว เพ็นซิล วิท ชาร์ปเพ็นเนอร์,22817,8856961228173,4392,18
8,ยูสตาร์ ซิกเนเจอร์ ทรี อิน วัน เพอร์เฟ็คท์ คอนซิลเลอร์,22872,8856961220580,2620,28
10,ยูสตาร์ แอนตี้ เมลาสมา ไบร์ทเทนนิ่ง ครีม,3080,8856961030806,5818,47
11,ยูสตาร์ สไมลี่ย์เวิลด์ จูสซี่ ทินท์ #01,23191,8856961231913,1906,25
12,ยูสตาร์ สไมลี่ย์เวิลด์ จูสซี่ ทินท์ #02,23192,8856961231920,1778,25
13,ยูสตาร์ ซิกเนเจอร์ เซลฟี่ เรดี้ สแนป ฟลัฟฟี่ ชีค #02,23165,8856961231654,2721,27
14,ยูสตาร์ จัสท์ ชายน์ ลิป บาล์ม #เรด เบอร์รี่,23112,8856961231128,10644,20
15,ยูสตาร์ คิวตี้ แมทท์ ลิปองค์ #01,22566,8856961225660,1324,18
16,ยูสตาร์ คิวตี้ แมทท์ ลิปองค์ #02,22567,8856961225677,489,18
17,ยูสตาร์ เฟมมี่ เฟมินีน ไฮยีน พีเอช บาลานซ์ สูตรอ่อนโยน,4071,8856961040713,,
18,ยูสตาร์ แมทท์ ล็อค ลิป คัลเลอร์ #01 สตาร์ดัส,B32361,8856961232613,16330,20
19,ยูสตาร์ แมทท์ ล็อค ลิป คัลเลอร์ #02 เชอร์รี่ นู้ด,B32362,8856961232620,8123,20
